time;AAN155Free;AAN155_Ba
142,82227;1,71E+02;1,19E+03
143,43262;1,78E+02;1,27E+03
144,043;1,59E+02;1,25E+03
144,65332;1,66E+02;1,30E+03
145,26367;1,72E+02;1,20E+03
145,874;1,57E+02;1,27E+03
146,48438;1,84E+02;1,24E+03
147,09473;1,81E+02;1,20E+03
147,70508;1,79E+02;1,21E+03
148,31543;1,77E+02;1,22E+03
148,92578;1,41E+02;1,23E+03
149,53613;1,54E+02;1,18E+03
150,14648;1,73E+02;1,20E+03
150,75684;1,52E+02;1,24E+03
151,36719;1,57E+02;1,23E+03
151,97754;1,72E+02;1,25E+03
152,58789;1,74E+02;1,28E+03
153,19824;1,64E+02;1,21E+03
153,80859;1,47E+02;1,17E+03
154,41895;1,55E+02;1,22E+03
155,0293;1,58E+02;1,20E+03
155,63965;1,64E+02;1,18E+03
156,25;1,76E+02;1,22E+03
156,86035;1,77E+02;1,23E+03
157,4707;1,67E+02;1,19E+03
158,08105;1,58E+02;1,18E+03
158,69141;1,40E+02;1,22E+03
159,30176;1,57E+02;1,19E+03
159,91211;1,74E+02;1,19E+03
160,52246;1,52E+02;1,22E+03
161,13281;1,77E+02;1,25E+03
161,74316;1,46E+02;1,21E+03
162,35352;1,62E+02;1,18E+03
162,96387;1,52E+02;1,20E+03
163,57422;1,36E+02;1,21E+03
164,18457;1,67E+02;1,18E+03
164,79492;1,51E+02;1,15E+03
165,40527;1,68E+02;1,19E+03
166,01563;1,57E+02;1,19E+03
166,626;1,38E+02;1,18E+03
167,23633;1,41E+02;1,12E+03
167,84668;1,39E+02;1,19E+03
168,457;1,50E+02;1,20E+03
169,06738;1,36E+02;1,22E+03
169,67773;1,61E+02;1,22E+03
170,28809;1,31E+02;1,13E+03
170,89844;1,46E+02;1,20E+03
171,50879;1,60E+02;1,19E+03
172,11914;1,41E+02;1,17E+03
172,72949;1,73E+02;1,16E+03
173,33984;1,35E+02;1,19E+03
173,9502;1,48E+02;1,20E+03
174,56055;1,38E+02;1,18E+03
175,1709;1,47E+02;1,11E+03
175,78125;1,33E+02;1,20E+03
176,3916;1,44E+02;1,13E+03
177,002;1,45E+02;1,19E+03
177,6123;1,31E+02;1,17E+03
178,22266;1,38E+02;1,17E+03
178,833;1,41E+02;1,11E+03
179,44336;1,47E+02;1,14E+03
180,05371;1,50E+02;1,14E+03
180,66406;1,55E+02;1,11E+03
181,27441;1,21E+02;1,10E+03
181,88477;1,48E+02;1,17E+03
182,49512;1,44E+02;1,17E+03
183,10547;1,39E+02;1,15E+03
183,71582;1,46E+02;1,20E+03
184,32617;1,38E+02;1,14E+03
184,93652;1,33E+02;1,19E+03
185,54688;1,19E+02;1,14E+03
186,15723;1,19E+02;1,15E+03
186,76758;1,25E+02;1,11E+03
187,37793;1,30E+02;1,12E+03
187,98828;1,60E+02;1,16E+03
188,59863;1,35E+02;1,13E+03
189,209;1,59E+02;1,13E+03
189,81934;1,26E+02;1,16E+03
190,42969;1,30E+02;1,16E+03
191,04;1,42E+02;1,16E+03
191,65039;1,29E+02;1,12E+03
192,26074;1,21E+02;1,16E+03
192,87109;1,40E+02;1,14E+03
193,48145;1,44E+02;1,12E+03
194,0918;1,24E+02;1,04E+03
194,70215;1,22E+02;1,14E+03
195,3125;1,27E+02;1,08E+03
195,92285;1,25E+02;1,14E+03
196,5332;1,38E+02;1,05E+03
197,14355;1,10E+02;1,12E+03
197,75391;1,14E+02;1,08E+03
198,36426;1,30E+02;1,10E+03
198,97461;1,46E+02;1,14E+03
199,585;1,19E+02;1,18E+03
200,19531;1,34E+02;1,07E+03
200,80566;1,25E+02;1,08E+03
201,416;1,03E+02;1,17E+03
202,02637;1,18E+02;1,15E+03
202,63672;1,41E+02;1,08E+03
203,24707;1,32E+02;1,09E+03
203,85742;1,33E+02;1,08E+03
204,46777;1,21E+02;1,17E+03
205,07813;1,27E+02;1,17E+03
205,68848;1,26E+02;1,08E+03
206,29883;1,33E+02;1,14E+03
206,90918;1,22E+02;1,07E+03
207,51953;1,20E+02;1,11E+03
208,12988;1,17E+02;1,12E+03
208,74023;1,24E+02;1,09E+03
209,35059;1,15E+02;1,09E+03
209,96094;1,24E+02;1,12E+03
